Role	ID	ID_Qui	ID_Quoi	Descr	Info	CreatTS	ModifTS	ID_Groupe	
Role	199	102	595	F1		2024-11-30T09:10:41	2024-03-10T22:55:54	0
Role	146	295	567	F1-amoureuse		2024-11-30T09:10:41	2024-05-26T21:05:01	0
Role	338	219	650	F2-Chloé la copine de la fille		2024-11-30T09:10:41	2023-08-24T21:51:37	0
Role	3106	2292	3394	Musicien		2024-11-30T09:10:42		0
Role	610	272	767	F1		2024-11-30T09:10:41		0
Role	1118	1701	615	M2-Manager de Cloclo		2024-11-30T09:10:41		0
Role	236	120	609	F1		2024-11-30T09:10:41		0
Role	747	561	821	M1		2024-11-30T09:10:41		0
Role	1099	406	1524	M1-Ecrivain Negre		2024-11-30T09:10:42		0
Role	190	580	590	M2		2024-11-30T09:10:41		0
Role	800	533	841	M1		2024-11-30T09:10:42		0
Role	4058	2587	2013	Musicien		2024-11-30T09:10:42		0
Role	4059	2042	3337	Musicien		2024-11-30T09:10:42		0
Role	871	104	874	F2		2024-11-30T09:10:42		0
Role	926	203	903	F1		2024-11-30T09:10:42		0
Role	3873	2535	2453	Musicien		2024-11-30T09:10:42		0
Role	351	208	657	F1		2024-11-30T09:10:41		0
Role	4092	2598	3483	Musicien		2024-11-30T09:10:42		0
Role	3119	2118	1930	Musicien		2024-11-30T09:10:42		0
Role	259	12	621	F1		2024-11-30T09:10:43	2024-05-23T17:11:10	0
Role	97	605	547	M2		2024-11-30T09:10:43		0
Role	4663	2624	3839	Artiste		2024-11-30T09:10:42		0
Role	559	366	746	M1		2024-11-30T09:10:41		0
Role	182	45	588	F1		2024-11-30T09:10:41	2024-05-24T08:50:04	0
Role	3079	1796	2236	Musicien		2024-11-30T09:10:42		0
Role	4056	2041	2414	Musicien		2024-11-30T09:10:42		0
Role	4096	2601	2171	Musicien		2024-11-30T09:10:42		0
Role	682	445	798	M1		2024-11-30T09:10:41		0
Role	962	309	918	F1		2024-11-30T09:10:41		0
Role	887	380	883	M1		2024-11-30T09:10:41		0
Role	234	415	608	M1		2024-11-30T09:10:42		0
Role	3933	2030	2114	Musicien		2024-11-30T09:10:43		0
Role	4116	2132	2495	Musicien		2024-11-30T09:10:42		0
Role	706	595	807	M2		2024-11-30T09:10:42		0
Role	3677	1817	2132	Musicien		2024-11-30T09:10:42		0
Role	256	9	619	F1-arrive à 1h05		2024-11-30T09:10:41	2024-06-01T20:03:58	0
Role	419	431	686	M1		2024-11-30T09:10:41		0
Role	4046	1841	2372	Musicien		2024-11-30T09:10:42		0
Role	723	509	813	M1		2024-11-30T09:10:41		0
Role	3154	2310	2780	Musicien		2024-11-30T09:10:42		0
Role	3153	2049	3118	Musicien		2024-11-30T09:10:42		0
Role	200	370	595	M1		2024-11-30T09:10:41		0
Role	429	97	691	F1		2024-11-30T09:10:41	2024-05-23T16:40:32	0
Role	222	84	602	F2-la mère		2024-11-30T09:10:41		0
Role	1016	25	1500	F2		2024-11-30T09:10:41		0
Role	557	553	745	M1		2024-11-30T09:10:41		0
Role	5444	84	563			2024-11-30T09:10:41		0
Role	922	197	901	F1		2024-11-30T09:10:42		0
Role	104	36	551	F1		2024-11-30T09:10:41		0
Role	4112	2605	1900	Musicien		2024-11-30T09:10:42		0
